,tweet,label
3324,Ek the tiger bhi super hit hua Yarr sallu Bhai lekin there naam ka kia look ta app ka sallu Bhai ekdam radhe,neutral
3832,bhaiyo ke bhai,posiitve
2756,hlw salman bhai,neutral
1155,Vadiaa veer ji,neutral
650,dashing salman khan ..,posiitve
2555,Ok tjeek hai nhi aanahai to bta to.do sir,neutral
1040,"Musalmaan kabhi aage se vaar ni karta hamesha hijdo ki tarah pichhe se vaar karta hai,Pakistan ko hi dekh lo Muslim hijdo ka desh Hahahahahahaha",negative
3556,salman bhai bhool gye kya,negative
1840,Sb bolte h mai apka bht bda fan hun lkn apki fan nhn apki ac hun plz jzt 1responce like cmnt kch v ek br mra naam h bol do bs wai kaafi h,neutral
1411,"Priyanka Kunwar beautiful beautiful beautiful ! kasto ramrailo gana. Love salman, can't wait to see bhaijaan??",posiitve
3180,Kb bjenge tumhare 4 salman ? ??,neutral
2217,kaha h bhai jann,neutral
2966,Salman bhai mje aap se milna hai...i am ur big big big fan...,posiitve
233,PM Saab aapkey swatch BHARAT mission ke Himachal Ki Raajdhaani sey ek tasweer bhejee hai mainey kal. Usey jarur dekh Lena,neutral
345,acche din aa gye ............,posiitve
1880,Sach ka samna .roza he ke nahi ye batao?,neutral
943,salo yha kyu apni maiya thukwa rahe ho.. sale chutiye bhaag jao.. ni to ga**nd paad dunga,negative
1885,sabhi bandra aao mere ghar par sabse milunga main,neutral
111,Apna desh chlane ke liye bola apni myiya chuda rhe ho ghum ghum ke..,negative
2771,"Bajrangbali ki vakt , kavi jhuut bolti nahi , toh aap kaise bola ?",neutral
6,"Aatma aur mun ki pavitrata ki jhalak hai is beti ki aawaz mei, khush raho beti.",posiitve
1658,me apka bhot bda fan hu,posiitve
619,Kiya huwa bewde muhe kiyo latka ke behtha hai,negative
409,Skil india to tab hoga jab india rahega modi g. Kanhi seej fayar kahi isi. Naksal waad. Jai hind.,negative
3415,Salman bhai don't worry. Aane do salo ko aisa khinch ke denge ki bhool jaayenge ki saans kaha se le aur pa#*e kaha se....,negative
3796,kya tha woh u block,neutral
920,Bhai ki chalati he isliye achhe accho ki jalti he.........,posiitve
3248,niceeeeeeee loveeeeee you bhaijaaan,posiitve
1722,3:30 ka time tha,neutral
3084,"Inteha ho gayi intezar ki,Aayi na kuch khabar salman bhai ki...",neutral
2869,sir ticket k paise ni hai 2 ticket bhejo,posiitve
1523,Salman 1 baar kuch bhi type to kr do,neutral
2423,try kariye ap mese kisi se to bat kar hi lege,neutral
2387,Salu bhai awo na.,neutral
906,Ek bAat apki achchi nhi lgI... #Salman_Bhai... mekO pTa h aP bZy h bt vO bAat apKo ptA nhi chl paegi jab tak aP mekO cntct nhi krenge m apni bAat v clear nhi kr paunga,negative
388,Modi ji .....ye galat baat hai jo aapn 3 crore ka stage lagwa raha han ..... please think about it,posiitve
2175,sirr..khan ho...goli toh ni de re??,neutral
845,iftar party mere taraf se aajao,neutral
2209,4 baj gaye bhai,neutral
3291,Bas dil pak ho bhale duinya kuch b kahe,neutral
1961,plzz slaman jrur aana onlin or plzz jrur baat krna apne fans se plzzz..plzzzz...,neutral
1421,3:30 par bat ho gi sab se allah hafiz,neutral
3439,Sallu kya likha hai kuch samajh nhi aaya,neutral
1405,Suprab my jaan salman khan,posiitve
1967,ajao vaai party karte hai tm or hum fans lok,neutral
146,hindustan ke dusre mhatma gandhi nerndr modi jee hai har har modi ghar ghar modi,posiitve
1849,aisa sahi me hoga kya,neutral
1202,Jo sachcha musalman hoga vo iski movie nahi dekhega bhai kyu k isne muslamano ko chalange kiya hai so mai to nahi dekhunga jiski jo marzi bhai,negative
257,plz modi ji aapke desh basioko samjhaiya ki buddha ka janam nepalmain huwa hain na ki india me.,neutral
1505,Salman sir answers dain gey kya..,neutral
1795,Apse life m ek bar mulakat ho jaytoo life m aana safal ho jaygaa,neutral
730,Bhaijaan Allah ki ibadt aap bani h bani rhe bani rhegi bajrangi bhaijaan jrur hit hogi,posiitve
3532,Bajrangi Bhaijaan sbka bhai,neutral
2513,Aap reply karenge....?,neutral
1865,4 to baj Gaye,neutral
1707,kya bhai aapka ye movie bahubali record tod paey,neutral
3647,eid mubark salman bhai,posiitve
448,hath mai hath rakhe baithe milo gye,posiitve
3183,pandey ji kamal kardiya apne aap 4.00pm ko batkarne wale thay apk 4.00 bajege bhi ya nahi,neutral
2417,Pavan kuman ...abhi toh ajao..,neutral
604,apun kapda khole apna body dekh ke ldkiya kpda phna istrt kr degi colr tak usi ko sikahne ke li apna kpda kholenge,posiitve
1020,Bhai logo sbse bda dharm insaniyat usko follow karo,neutral
1672,love uuu saluuuuuuu,posiitve
2694,kidher hoo sirrrr,neutral
1215,Salam Nadia Khan frm salman khan,neutral
2611,bhai mujhe aapki film bajrangi bhaijaan ke gaane bhaut pasand  aye,posiitve
2388,4 pm to kabka baj gai ...pr aap ho kaha Bajrangi Bhai jaan,neutral
1435,very nice salman bai beautifull song,posiitve
2825,Salman plz reply,posiitve
3806,EID MUBARAK BHAIJAN. .,posiitve
1489,sir massage kahan se karna hai sir massage kahan se karna hai sir massage kahan se karna hai,neutral
912,"U jahanami ,,,.hate u ,,waqt hai sudhr jao,,,",negative
3459,Salman apke fans pahle apka dharm nhi.....apke Indian pahle hone ki vajah se pasand karte h. Aur apke sbhi chahne wale ka koi bi dharm ho.salman aap Hiro ho unke,posiitve
1836,bhai jaan jai bajrangbali apki movie jarur blockbuster hogi,posiitve
1083,mai salmaan bhai ka baho.......t... bada fan hoon ...,posiitve
832,Bhai jaan apse ek request tha.... ek baar apki koi dance functions me dance karne ka moka dete toh.... ye jindegi ki sabse bada dream pura ho jata,posiitve
1944,abe tm log nhi manoge tikhi mirchi wala nasta kraunga sb ko tbhi theek hoge.....tb salman salman nhi pani pani chillana smjhe,neutral
1268,ye harami iski kya aukat hai salamn ki mere samne iske pas jitna paisa hai utna to mere kutte ko khana ata hai,negative
100,Maza to tab hai jab kohinoor wapis lao,neutral
790,Salman handsome king,posiitve
183,Modi ji aap aage bado hum tumhare shath he..,posiitve
2760,Tweet pe hi bta diye,neutral
963,Or me bhi indian hu kon hota he ye jo musalman ko gali de or khud ko musalman kehta he jaheel,negative
1816,Jarut karenge awashya karenge ....aapke fan jo hai..,neutral
3621,Bhai Jaan original kon se fb par ho kiss naam SE hai,neutral
2386,salmaan sir hm aapse milna chahte hai plz sir...,neutral
1068,apko salman bhai ki kasam mujhe add kijiya,neutral
63,Lageraho modiji pura des aapke sath he.,posiitve
1370,Iss bar teri ni chalegi,negative
974,Tu dil hai tu jaan hai..mera salman hai,posiitve
1585,hum to taiyar hai,neutral
720,Salmon bhai mai Apki boooooohat bari fan hn.,posiitve
1966,Bhai 5 mint rhegaye,neutral
2277,Mein apke sath jacqueline ka b fan hun,neutral
1802,Apko pta nhi hh m apko kitna psn krte hu,neutral
2622,salman bhai kb se apka wait kr re ky huaa taik tu me iloveu salman bhai,neutral
3272,Lakh zuban lakh baate,neutral
2740,"Kha ho bhai ,  sb ke bhai",neutral
3711,Hii very nice... Salman sir apko meri taraf se eid ki bahat bahat subhkamnayen.....,posiitve
1067,Hum ka bole is kamine salman ke bare me bolna to bahut kuch hai I heat salman khan,negative
18,"fantabulous... We proud of you Modi Ji...Hamare desh ki tasvir bhi sudharti nazar aa rahi h, sablogon me badlao dikh raha h... India ko apke jaisa hi PM chahiye..Bharat ki kuch zamini samsyaye bhi h jaha dhyan dene ki zarurat h...asha h ki jald hi unme bhi sudhar ayega.",posiitve
3328,Kuch log zindagi bar nhi samjte or na dusro ko samjhne dete h kud toh bekar hote h dusro ko bhi apni tarh bana dete isliye vo kabhi nhi samjege.,negative
889,Uski party kisey hona bhai,neutral
1458,Bande matramjai hindbharat mata ki jaind indai is greati love my india;->,posiitve
59,Kiu app apne desh ki paisa ko kharab kar rahe ho..apne desh to ghum ke dekha nehi..aap chale dushre ki desh ghumne..koi vala kam aapse nehi hoga modi g..,negative
592,bhai kya hal hai,neutral
2473,Bhai jaan jago .4.13pm ho gyaa kaha ho,neutral
3746,Salman khan bolliwood ki shan banchuka back to back blockbuster superhit movi name dabbang. Redy. Bodyguard. Ek tha tiger . Dabbang2. Jai ho. Kick. Bajarangi bahizan superhit jayagi 300 fix,posiitve
1815,man ki bat ya dill ki bat......?,neutral
78,Jab tak suraj chaand rahega modi ji ka naam rahega,posiitve
109,sir agar aapke pas thoda sa time ho toh kripa karke es desh ki nojawaano ke liye bi kuch kariye.. jyada jankari ke liye kripyaa msg kariye mujhe,neutral
2874,Hiiii me aap ki sab se bati Fan hoooooo.....                      ????????,posiitve
653,agr tom na hoty to bollywood ka maza bi na hota haha,posiitve
3245,bajrangi bhai jaan kaise ho,neutral
3667,or bhai sub ko bol do kye ap mare bhai ho ap ko kasm hai ap ke bhai bhai samj kar agar ap moje bhai samj te ho to facebook par boldo kye babar khan mangi mara friend nh balke bhai hai ap ki bhai babar,posiitve
83,Modi ji namashkarSorry to say but aap jab v kahin Facebook pe kuch share karte hain to status ko English me update karte hai...Khusi hogi jab aaapka updates hindi me,neutral
430,i love u salman vai.i like i so much.khuda hamesha apki saath rahegi vai..,posiitve
64,"Sir ji you r great,Ap sirf bidesh Bhraman korenge ya Desh Ki bachhe ko v khayal rakhenge,Kitna garub hai hum log,Diya koro sahab",posiitve
2644,ab  himmat nai hai re baba jaldi reply krna shuru karo,neutral
3430,sahi h bhai good evning salman sir,neutral
17,V good Modi ji aap lege rahe hum aapke sath he,posiitve
1956,kha ho aap shona cant wait...... :-),neutral
440,i love salman sir.....dost na koi manjil he na koi sathi he fir bhi nikal pada udhar se sayad jis ki talash he wahi sathi he wahi manjil he......o o jane jana dhunde tujhe diwana........salman sir i love you,posiitve
2304,Bhaijaan kaha ho aap..##plz baat karo..## meri beti aapki bahut bari fan hay..##,neutral
627,Hamein kaash tumse muhabbat na hoti :(,posiitve
3099,Aslam tu agr bigest fan he to kia apun smilest fan he salman khan ke,neutral
2651,Bhai ek bar hamse bat karlo cuz hame ek achievement  mil jayega apse bat karne ka,neutral
772,tum se pyaar <3<3<3,posiitve
3776,devil apke pi6e...nice bhaijan,posiitve
1637,Superp bhai jaan,posiitve
1112,bhai jan kya baaaat haiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii.,posiitve
145,Modi ser desh me kharab ho rha anaaaj ???? ???? iske bare me kya soch rhe hy aap,neutral
2587,Salman kab aate hai kab jate hai kisi ko pta nhi chalta,negative
3615,salman sir main aap kaa bahout bada fan hu please call me 7726066179,posiitve
1838,Bhai apki film ka whatsapp pr kuch mesg a rhe hai kya ye meg sahi hai,neutral
907,ramzaan aur eid bahut bahut Mubarak ho i love u,posiitve
854,Salman ki diwaniya muj se ek baar chat krlo plzz......,neutral
634,Good night sir.....capil comedy..me aaye mamko bahut achha laga...Good.night.sahb g....,posiitve
1478,isko dus saal ki hail honi chahiye,negative
2692,Hum aapna kaam chodkr baithe h . Aajao na.,neutral
1398,Main aap py qurban,neutral
809,Ek baat btao,neutral
1156,I don't like salman khan madharchod randy ka ladka harami kafir,negative
3348,Koi rahe ya na rahe mai apke sath hu salman bhai,neutral
3022,ye kya hai 3 min ka bhi video nahi hai aur shirf 2 sawal asli akda bhejti hun abhi Twitter par,neutral
1426,"bohut khub,,specially salman kahan....",posiitve
1664,salman bhai aap meri life ho m bacpan se aapko apna bhai manti ayi hu apse badkar koi nai h mere liye bas ak baar mujhe bahan kah do best day of my life,posiitve
2710,Sar modlig to nahi ki maine par ek din ballywood ka sitar zarur banuga,neutral
2191,bhai ap sach me humari savalon ka javab denge na bhai,neutral
3231,Ok salman bha!!!!,neutral
1992,Sallu agia fb pe,neutral
62,World best pm narendar modi Ji mira bhart mahan,posiitve
862,koi bhi larki fedda ho jaiga app ka upar dekhna app,neutral
313,One rank one pension ke liye Pease nahi hai sharm karo bhul gaye Rewadi ki pehli relli ko PM SAAB,negative
2876,aao salman mujh se milne,posiitve
1896,4 baje meri college mein class hai bhai jaaan :(,neutral
929,nice bhai mai jarur aaunga,posiitve
1269,Bhai is bar Eid aap ka chera dekh kar Ho gi .kab 17 tarikh aaye iam waiting,posiitve
898,very very very very very nice,posiitve
3814,Hallo bhaijan kaha ho,neutral
2022,Are kaise pata chalega ke online ho,neutral
3490,Bhaijan ak hi hain.....SALMAN......,neutral
1943,awoo kare baat salman ke sath`-?,neutral
3330,Salman Bhai esi post ka intezaar tha thank u bhai shukriya Maherbani.,posiitve
2731,4 baj gaye lekin reply abhi baaki hai,neutral
3603,Oooops wow yar,posiitve
2458,Nhi arah bhai,neutral
2630,Magar ap bata he nhe raha ha,posiitve
967,Salman muzhe mere sawal ka jawab cahiye hum nich to tu kon akher tu bhi muslim h na most reply,negative
1011,oui salman khan,neutral
1741,Kha bt krenge,neutral
1300,bhaijaan aslam valekum,neutral
3605,sab ki aan sab ki saan aagya bajrangi bhaijaan,posiitve
1128,"Bohot accha hai . Aaj ki party mari taraf se , sab ko bolo utre flak se . Nice",posiitve
2818,Salllluuuu i love u....plzzzz ek bar apne apse milne do...plzzzzzz,posiitve
2633,Kamaal karte hoon salman ji aane ka irada hai ya nai,neutral
3410,Bhai hum aap par poora trust karte hai aur humme pta hai kabhi galat nahi karoge,posiitve
3429,hamy apky real life se koi sarokaar nahi. ap actor hu aur apki mvz dekty hai thats it baqe ju karu ya na karu ur life,negative
1352,kyaaa yaaar ...umidd thi k aaj kuch had tak to sapna sch hoga leki pandey ji umid tod di naa..,negative
189,Yehi jadu hai modiji ka jaha jate log pyaar karte hai,posiitve
1338,kutte kutte kutte.... teri movie flop hogi,negative
2593,saaaaaavdhan salman bhai ko bulane ka formula laaya hoon... sirf 51 rupe do or sallu bhai se baat karo.. baba ka prasaad lo.. sirf 51 rupe,neutral
2063,4 baj gai leken sallu abhi anna bake hai,neutral
2066,Salmaaannnn pls baat karo,neutral
654,Meri zindingi aapko lag jaye bhaijaan yeh dua hai meri,posiitve
2240,kaha par ho app bhai ? jaldi aa bi jaw,neutral
1942,7 mins left......waiting bhai......,neutral
3350,Love youui bhaiiiii,posiitve
2290,sone do ...aajayenge apne aap,neutral
379,Modi j jitna aap ki yojna greatest hai hum aap k sath hai sir j,posiitve
234,priya narandra modi pm ji apkaisa ho good night,neutral
1957,5 mnt or,neutral
3263,Salman bhai ma Pakistan sa hun main aapka bht bara fan hun or ma aapko milna chta hun mari ya khoish hai,neutral
2590,plz bajrangi bhaijan ek reply plz     mai m.p. ke rewa saher ka rahne vala hu,posiitve
2535,mene socha tha ki  aap humesa such bolte he aur bhut acche h but aap bilkul bhi essaaa nhi he,neutral
2381,bhai apne 3:30pm bola tha fir 4:00pm bola ab 4:10pm ho gaya hai .this is not fair,neutral
1911,bhai hame bhi naraj na kariyo,neutral
1058,Hanji paji tiaar aa jooba,neutral
1488,bhi aapke movie ka besabri se wait kr rha hu aur mera aasa hai ki iss sal recod tut jayega...,posiitve
815,bajrangi veer putra dal de,posiitve
1304,slam malikam salman,neutral
2416,Hero ki entry last me kyun hoti hai abhi pata chala,neutral
2637,ohhh bhot intezar ho gya .....its 4:23sir....,neutral
1700,hi sir kesey hai aap n aap ki famliy i hope aap n aap ki famliy sab theek hon gey god blees u n best of luck for ur film bajrangi bhaijan super hit film this year .......,posiitve
3371,jitne v salman ko gaali de rhe hai. sb owaisi ke dogle hai. sala sb galat msg failata hai owaisi supporters,negative
2635,Yes sab jhuth hai koi salman khan humlogo se baat nhi karne wale,neutral
1470,Hi kia hal hy tum kaise ho kia salgira hy tumhari,neutral
193,Me bhe aap ka bahut bada dewana hu,posiitve
1590,"8lez,ap fix tym bta dijiye sir ki kb are ho.ap fb p",neutral
516,kya karne wale ho kuch soche bhi ya koi phark nahi padta,neutral
229,Ise share karo plz,neutral
2807,salman bhai asslam alykum,neutral
339,Hiii kam chhe,neutral
2924,loveeeeeeeeeeeeeeeeeeeeeeee uuuuuuuuuu salmaannnnnnnnmnmm sir,posiitve
698,Bhaiya main aapka bahut bada fan hu,posiitve
3128,Are kanjos ji aj to in sab se bat karo sab ko khush kar do itna to kar saktea ho ka nhe aj kanjosssssss mat bana plzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz salman khan plzzzzzzzz,negative
3097,sir 4 baje se lgi hue hu kuch to rpy kr do,neutral
795,sidhi vinayak ganesh ji ki jai hoooooo,posiitve
593,Swachchh bharat aviyaan ke liye danyabaad....,posiitve
2558,Ye jhut hai.,neutral
1978,Bhai ko mera salam,neutral
2103,bhai bt nhii krne thii too mna kr dtee mere phn ki bttry bhi low hooo gyee... :(,neutral
3380,salman apki sch bht achi hy.... ALLAH PAK sb thek kren gy .ap preshan mt hn. stay blessed,posiitve
1791,wali qum Haslam....bhai ....! ramJaan Mubarak......! bajrangi bhaiJan....!,neutral
2517,ab aaenge aur...good evening bol.k good bye kr k chale jaayenge,neutral
508,Asli swachhta safai krne se hoti hai sir photo khinchwane se nhi,negative
301,Modi ji zindabaad hamare desh ka strong hain joh India ki image badlega,posiitve
2028,Salman bhai ap vadio chat kro gy,neutral
3669,bhai jaan ead mubarak supose 6caror in bajrangi bhaijaan,posiitve
276,ati uttam modi ji,posiitve
1640,kabhi to msg ka ans dy diya kro g,posiitve
1812,ahhhhhh mujhe milna hai tumse pls sona ek bar mil lete hai na mujhe tumhe aise apne samne dekhna hai tumse bat karna hai :-( :-( :-( :'(,neutral
2067,Bhai plz aao jaldi,neutral
709,Kay kahna chah rahi ho,neutral
1706,kutta to kutta hi hota hai tu salman nahi tu 1 dalal hai,negative
2729,Plz bhai aa jao,neutral
452,tum milna chahte hi nahi kya mujhse,neutral
2058,please help me mein fb page par chat kese karu salman bhai ke sath??,neutral
469,Bohat khub Salman bhai,posiitve
1951,bhai tho meeting nahi cancel kartha agar committment de deha,neutral
3786,Kare chamara sale,negative
685,Handsom to hai mera bhai bhai he mera,posiitve
1353,bollywood ki saan hindustan ki jaan 1 n only salman khan love u salman,posiitve
79,Unstoppable modi sir,posiitve
82,Modi ji ek aisa star hai wo jaroor India ka star badlega kya khete ho mera bhayio or bheno,posiitve
2872,3.30 baje kaha or ab 5.30 bajane wale h abi tak aap nahi aaye kitna wait kare salman .i really love u salman,posiitve
2968,still wait 4 bje kha ab time 6 hone wla,posiitve
444,humara desh swach rahe ga tabhi humara india sab se uper hoga,posiitve
766,"Vidya gupta pagal ho gai h kay,.,,.,.",neutral
2143,Sallu Bhaijaan aapko #BajrangiBhaijaan film se kaunsa gaana sabse zada pasand hai?? ??,neutral
3332,Salman bhai mujhe to pata hai ke ye sub news jo bhi hai wo ghalat hai app ki film dekhne ke baad sub ko maloom hota ke koun kya hai aur koun kya hai,neutral
2204,Sir kaise milega reply ;-( itne logo mein,neutral
1463,hindhustan is my foot pakistaniyo ko galiya kyun dete ap sb kyun pakistniyo ne ap sbki bhene churi hai kiya,negative
1905,Muje aap bhout aache lagkte hai bachpan se dekti aa rai hu or marte dam tak dekungi i am a big fan. . . . 4rm nepal,posiitve
1465,strange..but bht acha kia .... realy feeling happy,posiitve
418,Respect to this Madam. No offence but Gujarat ko to kisi Mahapurush ne aisa change kr diya tha ki koi bhi insan slum me ni rehta.,posiitve
3111,Assalam walaikum.Kaise ho salman khan.Ramzan Mubarak hu....,neutral
1210,Kya guarantee hai ki sab questions ka answer aap hi denge???koi dusra bhi toh de sakta hai???,neutral
530,Hum bhi h raho me kl mene haji ali dargha pe salman bhaijan ko baijat bari hone ki duwa mangi,posiitve
903,Osm party salman bhai apka gift,posiitve
2085,"dekho 4 baj gaye,phir bhi aana tera baki hai.",neutral
519,GREAT SALMAN BAI,posiitve
901,Yes bhai boleto fadu song,posiitve
808,aap mere gao ki kahani p ek film bana do...,neutral
3285,GUD NYT BHAI,neutral
542,pls mane call karo,neutral
2331,"But bhaijaan Ji , aapki movie Ki shooting ka kya ?? Prm rtn dn pyo!",neutral
3794,Nice sllu baiiii,posiitve
2568,tu sisters aur brothers bahut pyar karte?,neutral
2895,meri baat to ho gae..... A biggggg thanks sallu :-*,posiitve
700,Hye meri cutey,posiitve
3058,Salman bhai loves us....so dnt be disappointed. ...ek din bhai se milne ka mauka sab ko milega...,posiitve
1819,tic toc ..tic toc...yaar ye time kyu nahi ja raha..,neutral
1350,Aaj ka bolke kal par taal diya.. Salman bhai aapse aisi ummed na thi,negative
3512,Sallu bhaijan ki jai ho sallu bhai pure hindustan ka tiger,posiitve
1479,"agar eid pe prof ho gya k bajrangi bhai jan mai muslims k beijaty hovy h to mai apk fan nai rhongy forever,",neutral
3782,Guyssss meri profile picture kesi leg rahi hai..???,neutral
1041,bhupender panwar hijda musalmaan hai,negative
2469,are sallu bhi apki ghadi slow h kya??,neutral
1900,Bhai jaldi karo na,neutral
3527,Supr salman bhaijan,posiitve
2402,Ek saath bulao sab....,neutral
2324,ok mere saath phn pe baat e karenge?ya whats app pe?boliye jaldi...,neutral
3681,Supar hai boss,posiitve
959,wâ€¦ise tu boli nai ki hai kaha se,neutral
888,Bhai apne bola air Maine comment maar dia...Eid Mubarak ho,neutral
1884,aaj ki party #Bhai ki taraf se.,neutral
2938,Milna to ek bar yaad rkhna bar bar,posiitve
2097,"Bhai mein apka buhat bra fan hon pakistan,sindh,karachii",neutral
671,Tere naam ke ladke diban h pata nahi,posiitve
382,india digital bana dena modi sarkar pm,posiitve
1927,4bje to m gf ke sath ghumne jaunga ..m baat ni kr paunga,neutral
3485,Salman sir aapki movie hit hogi,posiitve
2887,Fek    I'd  hai,negative
3706,Eid mubarak ho bhai jaan,posiitve
2505,"sabse hatke sawal, aapko bajrangi bhaijaan kar k kaisa laga?",neutral
1731,Jaise apki marji,neutral
2900,sir ye too National tragedy hoo jayegii agar ajj apne fan ko reply nahi diyaa ;),negative
3321,Salman bhai bharosa hai aap par..,neutral
624,Han raakhi bhi tum sab hi bandhana ...Gazzab ladkiyan hain yaar!!!,posiitve
1106,hamaare duvaa aapke saath he bhijaan ham aapke leye kuch bhe kr sakte he,posiitve
3404,"luv u salman ,...aap bht bht great ho...hr din koi na koi kisi k bare me bolta rehta..ese logo pr koi vishwas ni krta.........unke bolne se hi hme sikhna cahiye pdai kitni jruri h n soch smjhkr bolna b.",posiitve
609,salman i luv u alot n i wanna meet uh...plzz mjhse milo ya chat kro mjhse plzzzz i luv u ummaahhh,posiitve
133,Poojjya Narendra modiji good evning mera ek swpna hi aapkasaat ek selpy pooto chaiea anugrha deejia ples,neutral
3793,Love uuu bhaiii,posiitve
1616,Vry nce sir. <3,posiitve
1138,chicken song iw awesome bhai,posiitve
447,usse bol de keep distance wid me nonsense admi jo sirf apna kam banta rakhe,negative
2920,hello sallu bhaijan...,neutral
2362,Bhai jaan . aa bhi jao ..,neutral
1914,Intezar kab tak hum karenge bhla,neutral
1075,Jaise tum apne waade k pakke ho waise mai bhi apne waade Ki pakki hoon,neutral
884,Teri party tere baab ko de na layak,negative
3584,suwar ka bacha,negative
1975,Sallu aj m bt kiay bgair nh jany wala,neutral
3056,Madar Salman nai chalegi film,posiitve
241,Bahut sundar. Hardik subhkamnaye,posiitve
259,Kewal ghumte raho aur india ka ko narak me badal do tumhara modi yahi kahani,negative
1694,Bhai ..kab bajen ge 3.30,neutral
2897,bhai jaan ek baar me aap se milna chahta hu bhai jaan please please,neutral
3827,chl ht salman,negative
2088,kaha hooo vai? ajao or intezar nehi hota,neutral
2134,Ek baar mene jo commitment ki to fir me apne aap ki bhi nhi sunta! ;-),neutral
1091,salman kaha good. film bajrahgi bhaijaan oldbasyt walkam,posiitve
3103,bhai plz 6000screen pe release karo bajrangi bhaijaan,neutral
1563,3:44 ho gy duss hun kii aa ??,neutral
158,modi ji bangladash sa sab hendu ko india ma la chaleya plz eha musalman hendu ka vume dakal karlata ha or ve bahot aneti karta ha,neutral
2243,4 baj chuke hai salman,neutral
3140,Lage raho sallu bhai,neutral
1244,bhaijaan mera reply jarur dena,neutral
960,Aap ka bhi insaf honga. yaha nahi to waha honga. . inshallha,neutral
834,Ramzan me sabki madad karte ho aap isiliye vo aaye the,posiitve
39,Hahaha budha bachiyo ko taar raha h,negative
1401,"Hello salman jee, , Eid mubarak",neutral
91,Bhakt se bada anuyai hota hai.,neutral
2125,bhaiyya pls baat kijiyega dil mat todiyega,neutral
623,Bajrangi Bhai hamse bhi guftgu kar liya karo........,posiitve
2222,kya huaa bhaijan,neutral
683,Thu thu thu kuttey...,negative
3011,Hum fans ki feel ki koi kadar hi nahi h,neutral
3850,Sallman ki photos uplod krke fb ko khrab mt kro,neutral
1028,Ashu Sing tumhari saat howa hoga tum logo ka Mandira mai haaaaaaaaa,neutral
1822,Kbhi kbhi mere dil me tum bhi aate ho,neutral
831,Salman aapse milne ke liye Hume kya kare,posiitve
1293,Shahrukh Gouri galat news hai woh..... dont believe....usne aisa nahi kaha,neutral
181,"Itni energy vaala perhaps he koi p.m.raha ho india ka, aapkey liyye bhagvaan se prey kertey hai, sabka saath... Sabka vikas....jai ho",posiitve
563,Salman g meri asiqi sirf tumse hai,posiitve
1280,Salman aaja ghar mere eid par,neutral
3552,Bhai phela din phela show love u bhai,posiitve
3641,salman tum garibo k dard samjhte ho you are grateman,posiitve
3374,"Mashallah 2.3k comments and likes r 33,966 great 300 crores hai bhai ki film kai",neutral
2194,Bhai kasam se bata do ki shadi kab karr rahe ho warna mai kuwara marr jaunga,neutral
3187,aj apne hum sbko bht hurt kiye salman...apse ye umid nhi thi hum sb ko :-(...bt m also luv u salman...:),neutral
1965,sachi salman hm to din se wait me hai ki apse baat kar pay,neutral
2352,Ap late ho ap ne apne cometment pori nai ki,neutral
2875,aap tho bat nahi kar rahi ho. wadda kiya bat korogi aap,posiitve
1237,Sallu bhai aapka no.... chaye,neutral
239,PM MODI JI KI JAI HO,posiitve
3384,Yaar sallu bhai accche bande h to sala sab inke naam ko kharab karne me lage pade h,posiitve
224,Tusi bast pm ho modi ji Sade I'm panjabi,posiitve
1801,main aap ka bohut bade fan hu aap to sab ka help karta hai mera bhi 1 help kardena bhai plz bhai mujhse baat karna i miss u bhai,neutral
1383,es yearss ki super doper film bajrangi bhaijan,posiitve
2186,Bhai majak tha kya? ;),neutral
673,Salman realy good yar,posiitve
2772,dekh lena bhaiyya ki film super hit hogi,posiitve
441,abe majid se chapal chori nahi hoti jise jarurt hoti he wo lekar jata he,neutral
1711,Assalamualaikum salman sir,neutral
3154,plz cm bhai...hm sb wait kr rahe h apka,neutral
638,Muslim ka nam mat kharab karna salman bhai chahe kuch bhi karo koi tention nahi,negative
1520,Bhai help.me plzzz help.me,neutral
1970,Plz salman sir,neutral
3451,SALMAN bhai ap tenshan mt lo apki movei supar dupar hit hai kuch m k l or kuch b k l hai jo apni (G) mra rhey hai or jo mra rhey hai vo bhi apki movei dekey gey mgr adath hai na suleymani kida jo ghusa hai......:),posiitve
267,Bade dhayan se dekh rahe ho,neutral
2146,Bajrangi bhai jan kis type ki picture hai log halla kyo macha rahe hai,neutral
498,:'( :'( :'( :'( :'( tum gande pati ho bhot gande I hate u I really hate u,negative
2551,loveee u saluuuu,neutral
3505,mujhe mil gaya haii.....,neutral
3342,kuch karna se pehla soch kar karna,neutral
3613,#sona kya baat he..,posiitve
656,Salman Bhai yeh bajrangi bhaijan pe comment aa rhe hai is movie ko nhee dekhna,negative
2628,Ary bhai love. Phr jb b awo gy aunga. Ap ko request byjta hun link mel gya.,neutral
2322,Bro ap to baat karo 4:00 kap tak baj gya,neutral
3873,Bhai meri sim docomo hai maine bht try kiya ny ho raha hai,neutral
3749,i alsooo watcing thiz itx Fabulouss movie hmmmmm,posiitve
1930,hahaha...feeling osmmmm,neutral
1870,kya aap human being ko hmesha support kroge ???,neutral
1527,Are bhai thoda jaldi time diya hota sali nind kharab ho rahi he,neutral
2083,hello bhai ji,neutral
1641,Love you love you salman bhai,posiitve
